participantId,group,distanceCondition,stepFromNewGoal,posterior
human_74ea1778-cc30-4c70-92fe-ee112edef228_player2,Human-Human,equal_to_both,5,0.959200294854961
human_975b16bb-4262-4523-94e3-02521faeb953_player1,Human-Human,closer_to_player1,0,0.5
human_975b16bb-4262-4523-94e3-02521faeb953_player1,Human-Human,closer_to_player1,1,0.6408583745425108
human_975b16bb-4262-4523-94e3-02521faeb953_player1,Human-Human,closer_to_player1,2,0.9999999999713998
human_975b16bb-4262-4523-94e3-02521faeb953_player1,Human-Human,closer_to_player1,3,0.9999999999999988
human_975b16bb-4262-4523-94e3-02521faeb953_player1,Human-Human,closer_to_player1,4,0.9999999999999991
human_975b16bb-4262-4523-94e3-02521faeb953_player1,Human-Human,closer_to_player1,5,1.0
human_975b16bb-4262-4523-94e3-02521faeb953_player1,Human-Human,closer_to_player2,0,0.5
human_975b16bb-4262-4523-94e3-02521faeb953_player1,Human-Human,closer_to_player2,1,0.7866069160794745
human_975b16bb-4262-4523-94e3-02521faeb953_player1,Human-Human,closer_to_player2,2,0.835485601613121
human_975b16bb-4262-4523-94e3-02521faeb953_player1,Human-Human,closer_to_player2,3,0.872009619848239
human_975b16bb-4262-4523-94e3-02521faeb953_player1,Human-Human,closer_to_player2,4,0.9339266233379064
human_975b16bb-4262-4523-94e3-02521faeb953_player1,Human-Human,closer_to_player2,5,0.8676105035003211
human_975b16bb-4262-4523-94e3-02521faeb953_player1,Human-Human,equal_to_both,0,0.5
human_975b16bb-4262-4523-94e3-02521faeb953_player1,Human-Human,equal_to_both,1,0.9979717672800003
human_975b16bb-4262-4523-94e3-02521faeb953_player1,Human-Human,equal_to_both,2,0.7450385274815193
human_975b16bb-4262-4523-94e3-02521faeb953_player1,Human-Human,equal_to_both,3,0.5002160006083084
human_975b16bb-4262-4523-94e3-02521faeb953_player1,Human-Human,equal_to_both,4,0.5001045554048901
human_975b16bb-4262-4523-94e3-02521faeb953_player1,Human-Human,equal_to_both,5,6.0272455241611594e-05
human_975b16bb-4262-4523-94e3-02521faeb953_player2,Human-Human,closer_to_player1,0,0.5
human_975b16bb-4262-4523-94e3-02521faeb953_player2,Human-Human,closer_to_player1,1,0.597733828883907
human_975b16bb-4262-4523-94e3-02521faeb953_player2,Human-Human,closer_to_player1,2,0.4837166004684626
human_975b16bb-4262-4523-94e3-02521faeb953_player2,Human-Human,closer_to_player1,3,0.35936252594631446
human_975b16bb-4262-4523-94e3-02521faeb953_player2,Human-Human,closer_to_player1,4,0.4731147296509998
human_975b16bb-4262-4523-94e3-02521faeb953_player2,Human-Human,closer_to_player1,5,0.5248663739022997
human_975b16bb-4262-4523-94e3-02521faeb953_player2,Human-Human,closer_to_player2,0,0.5
human_975b16bb-4262-4523-94e3-02521faeb953_player2,Human-Human,closer_to_player2,1,0.7496862997620424
human_975b16bb-4262-4523-94e3-02521faeb953_player2,Human-Human,closer_to_player2,2,0.7499990985413996
human_975b16bb-4262-4523-94e3-02521faeb953_player2,Human-Human,closer_to_player2,3,0.7499990985413995
human_975b16bb-4262-4523-94e3-02521faeb953_player2,Human-Human,closer_to_player2,4,0.9999958951560095
human_975b16bb-4262-4523-94e3-02521faeb953_player2,Human-Human,closer_to_player2,5,0.9999990985034832
human_975b16bb-4262-4523-94e3-02521faeb953_player2,Human-Human,equal_to_both,0,0.5
human_975b16bb-4262-4523-94e3-02521faeb953_player2,Human-Human,equal_to_both,1,0.9984572571582225
human_975b16bb-4262-4523-94e3-02521faeb953_player2,Human-Human,equal_to_both,2,0.9997759901221247
human_975b16bb-4262-4523-94e3-02521faeb953_player2,Human-Human,equal_to_both,3,0.9999363117902984
human_975b16bb-4262-4523-94e3-02521faeb953_player2,Human-Human,equal_to_both,4,0.9999999513277752
human_975b16bb-4262-4523-94e3-02521faeb953_player2,Human-Human,equal_to_both,5,0.9999999999446392
human_9efbe63f-05a0-4f24-b469-a246d7732c10_player1,Human-Human,closer_to_player1,0,0.5
human_9efbe63f-05a0-4f24-b469-a246d7732c10_player1,Human-Human,closer_to_player1,1,0.6681964389159392
human_9efbe63f-05a0-4f24-b469-a246d7732c10_player1,Human-Human,closer_to_player1,2,0.7532819409662297
human_9efbe63f-05a0-4f24-b469-a246d7732c10_player1,Human-Human,closer_to_player1,3,0.5084950164528806
