sessionIndex,trialIndex,mapId,distanceCondition,firstDetectedSharedGoal,newGoalPresentedTime,posteriorEvidenceSteps,two_goal_shared_posterior,three_goal_shared_raw_posterior,three_goal_old_alternative_raw_posterior,three_goal_new_raw_posterior,three_goal_shared_scaled_posterior
21,11,308,closer_to_player2,1,3.0,3,0.9999999999999941,0.6666666666666627,3.948403368937878e-15,0.33333333333333326,0.6666666666666654
22,0,297,closer_to_player1,0,6.0,6,0.9999999996726529,0.6666666664484353,2.1823140867966253e-10,0.3333333333333333,0.6666666665939229
22,2,299,equal_to_both,1,4.0,4,0.9999819075908669,0.666654605060578,1.2061606088706065e-05,0.3333333333333333,0.6666626460828091
22,3,300,equal_to_both,0,4.0,4,0.9999819075908669,0.666654605060578,1.2061606088706087e-05,0.3333333333333333,0.6666626460828091
22,5,302,equal_to_both,1,2.0,2,0.9999999230415427,0.6666666153610286,5.130563816457762e-08,0.3333333333333333,0.6666666495647865
22,6,303,closer_to_player2,0,3.0,3,0.9999999230415427,0.6666666153610286,5.13056381645779e-08,0.3333333333333333,0.6666666495647865
22,7,304,closer_to_player1,1,5.0,5,0.9999999996726529,0.6666666664484353,2.18231408679661e-10,0.3333333333333333,0.6666666665939229
22,8,305,closer_to_player2,1,2.0,2,0.9999999230415427,0.6666666153610286,5.130563816457788e-08,0.3333333333333333,0.6666666495647865
22,11,308,closer_to_player1,1,3.0,3,0.9999999230415427,0.6666666153610286,5.1305638164577615e-08,0.3333333333333333,0.6666666495647865
23,1,298,closer_to_player1,1,7.0,7,0.9999999996726529,0.6666666664484353,2.1823140867965778e-10,0.3333333333333333,0.6666666665939229
23,2,299,closer_to_player1,0,5.0,5,1.0,0.6666666666666667,1.6794753832793268e-17,0.3333333333333333,0.6666666666666667
23,5,302,equal_to_both,1,4.0,4,0.9999819075908669,0.666654605060578,1.2061606088706128e-05,0.3333333333333333,0.6666626460828091
23,6,303,closer_to_player1,1,3.0,3,0.999981907590867,0.666654605060578,1.2061606088706067e-05,0.3333333333333333,0.6666626460828091
23,9,306,closer_to_player2,1,3.0,3,0.9999999999986076,0.6666666666657385,9.282594623910361e-13,0.3333333333333333,0.6666666666663572
23,11,308,closer_to_player2,1,3.0,3,0.9999999230415428,0.6666666153610286,5.130563816457758e-08,0.33333333333333326,0.6666666495647865
24,0,297,closer_to_player2,0,4.0,4,0.9999999996726529,0.6666666664484353,2.182314086796602e-10,0.3333333333333333,0.6666666665939229
